[2025-11-24 09:22:33] [INFO] Received stop signal; exiting loop
[2025-11-24 17:35:36] [DRY] Would copy /home/pi/Desktop/offline-setup-12Sep/data/csv/readings_all.csv -> /home/pi/Desktop/test-usb/OfflineDashboard/data/csv/readings_all.csv
[2025-11-24 17:35:36] [DRY] Copy pass would copy 1 file(s) to /home/pi/Desktop/test-usb
[2025-11-24 17:35:36] [INFO] Dry-run: 1 file(s) would be copied to /home/pi/Desktop/test-usb
[2025-11-24 17:35:51] [OK] Copied readings_all.csv -> /home/pi/Desktop/test-usb/OfflineDashboard/data/csv/readings_all.csv
[2025-11-24 18:10:14] [INFO] USB copy service started; interval=5s, cooldown=600s
[2025-11-24 18:10:14] [INFO] USB inserted -> triggering copy for /media/pi/070F-C9B2
[2025-11-24 18:10:16] [OK] Copied pi_Adiyogi_2025-11-24.csv -> /media/pi/070F-C9B2/COPIED_DATA/data/csv/pi_Adiyogi_2025-11-24.csv
[2025-11-24 18:10:16] [OK] Copied readings_all.csv -> /media/pi/070F-C9B2/COPIED_DATA/data/csv/readings_all.csv
[2025-11-24 18:10:16] [INFO] 2 file(s) copied to /media/pi/070F-C9B2
[2025-11-24 18:10:18] [INFO] Safely ejected /dev/sda1 (/media/pi/070F-C9B2)
[2025-11-24 18:10:23] [INFO] No USB mount detected
[2025-11-24 18:10:28] [INFO] No USB mount detected
[2025-11-24 18:10:33] [INFO] No USB mount detected
[2025-11-24 18:10:38] [INFO] No USB mount detected
[2025-11-24 18:10:43] [INFO] No USB mount detected
[2025-11-24 18:10:48] [INFO] No USB mount detected
[2025-11-24 18:10:53] [INFO] No USB mount detected
[2025-11-24 18:10:58] [INFO] No USB mount detected
[2025-11-24 18:11:03] [INFO] No USB mount detected
[2025-11-24 18:11:08] [INFO] No USB mount detected
[2025-11-24 18:11:13] [INFO] No USB mount detected
[2025-11-24 18:11:18] [INFO] No USB mount detected
[2025-11-24 18:11:23] [INFO] No USB mount detected
[2025-11-24 18:11:28] [INFO] No USB mount detected
[2025-11-24 18:11:33] [INFO] No USB mount detected
[2025-11-24 18:11:38] [INFO] No USB mount detected
[2025-11-24 18:11:43] [INFO] No USB mount detected
[2025-11-24 18:11:48] [INFO] No USB mount detected
[2025-11-24 18:11:53] [INFO] No USB mount detected
[2025-11-24 18:11:58] [INFO] No USB mount detected
[2025-11-24 18:12:03] [INFO] No USB mount detected
[2025-11-24 18:12:08] [INFO] No USB mount detected
[2025-11-24 18:12:13] [INFO] No USB mount detected
[2025-11-24 18:12:18] [INFO] No USB mount detected
[2025-11-24 18:12:23] [INFO] No USB mount detected
[2025-11-24 18:12:28] [INFO] No USB mount detected
[2025-11-24 18:12:33] [INFO] No USB mount detected
[2025-11-24 18:12:38] [INFO] No USB mount detected
[2025-11-24 18:12:43] [INFO] No USB mount detected
[2025-11-24 18:12:48] [INFO] No USB mount detected
[2025-11-24 18:12:53] [INFO] No USB mount detected
[2025-11-24 18:12:58] [INFO] No USB mount detected
[2025-11-24 18:13:03] [INFO] No USB mount detected
[2025-11-24 18:13:08] [INFO] No USB mount detected
[2025-11-24 18:13:13] [INFO] No USB mount detected
[2025-11-24 18:13:18] [INFO] No USB mount detected
[2025-11-24 18:13:23] [INFO] No USB mount detected
[2025-11-24 18:13:28] [INFO] No USB mount detected
[2025-11-24 18:13:33] [INFO] USB inserted -> triggering copy for /media/pi/070F-C9B2
[2025-11-24 18:13:35] [OK] Copied pi_Adiyogi_2025-11-24.csv -> /media/pi/070F-C9B2/COPIED_DATA/data/csv/pi_Adiyogi_2025-11-24_1.csv
[2025-11-24 18:13:35] [OK] Copied readings_all.csv -> /media/pi/070F-C9B2/COPIED_DATA/data/csv/readings_all_1.csv
[2025-11-24 18:13:35] [INFO] 2 file(s) copied to /media/pi/070F-C9B2
[2025-11-24 18:13:37] [INFO] Safely ejected /dev/sda1 (/media/pi/070F-C9B2)
[2025-11-24 18:13:42] [INFO] No USB mount detected
[2025-11-24 18:13:47] [INFO] No USB mount detected
[2025-11-24 18:13:52] [INFO] No USB mount detected
[2025-11-24 18:13:57] [INFO] No USB mount detected
[2025-11-24 18:14:02] [INFO] No USB mount detected
[2025-11-24 18:14:07] [INFO] No USB mount detected
[2025-11-24 18:14:12] [INFO] No USB mount detected
[2025-11-24 18:14:17] [INFO] No USB mount detected
[2025-11-24 18:14:22] [INFO] No USB mount detected
[2025-11-24 18:14:27] [INFO] No USB mount detected
[2025-11-24 18:14:32] [INFO] No USB mount detected
[2025-11-24 18:14:37] [INFO] No USB mount detected
[2025-11-24 18:14:42] [INFO] No USB mount detected
[2025-11-24 18:14:47] [INFO] No USB mount detected
[2025-11-24 18:14:52] [INFO] No USB mount detected
[2025-11-24 18:14:57] [INFO] No USB mount detected
[2025-11-24 18:15:02] [INFO] No USB mount detected
[2025-11-24 18:15:07] [INFO] No USB mount detected
[2025-11-24 18:15:12] [INFO] No USB mount detected
[2025-11-24 18:15:17] [INFO] No USB mount detected
[2025-11-24 18:15:22] [INFO] No USB mount detected
[2025-11-24 18:15:27] [INFO] No USB mount detected
[2025-11-24 18:15:32] [INFO] No USB mount detected
[2025-11-24 18:15:37] [INFO] No USB mount detected
[2025-11-24 18:15:42] [INFO] No USB mount detected
[2025-11-24 18:15:47] [INFO] No USB mount detected
[2025-11-24 18:15:52] [INFO] No USB mount detected
[2025-11-24 18:15:57] [INFO] No USB mount detected
[2025-11-24 18:16:02] [INFO] No USB mount detected
[2025-11-24 18:16:07] [INFO] No USB mount detected
[2025-11-24 18:16:12] [INFO] No USB mount detected
[2025-11-24 18:16:17] [INFO] No USB mount detected
[2025-11-24 18:16:22] [INFO] No USB mount detected
[2025-11-24 18:16:27] [INFO] No USB mount detected
[2025-11-24 18:16:32] [INFO] No USB mount detected
[2025-11-24 18:16:37] [INFO] No USB mount detected
[2025-11-24 18:16:42] [INFO] No USB mount detected
[2025-11-24 18:16:47] [INFO] No USB mount detected
[2025-11-24 18:16:52] [INFO] No USB mount detected
[2025-11-24 18:16:57] [INFO] No USB mount detected
[2025-11-24 18:17:02] [INFO] No USB mount detected
[2025-11-24 18:17:07] [INFO] No USB mount detected
[2025-11-24 18:17:12] [INFO] No USB mount detected
[2025-11-24 18:17:17] [INFO] No USB mount detected
[2025-11-24 18:17:22] [INFO] No USB mount detected
